ir1,ir2,degree,time
3.3,2.6,3,10:37:00.678659
3.3,2.6,3,10:37:00.706085
3.1,2.9,3,10:37:00.735217
3.1,2.9,3,10:37:00.763637
3.1,2.9,3,10:37:00.790229
3.1,3.3,3,10:37:00.817768
3.1,3.3,3,10:37:00.847682
3.5,3.5,2,10:37:00.877241
3.5,3.5,2,10:37:00.906857
3.4,3.5,2,10:37:00.937987
3.4,3.5,2,10:37:00.965857
3.8,3.3,1,10:37:00.993584
3.8,3.3,1,10:37:01.020734
3.8,3.3,1,10:37:01.047997
7.4,3.2,1,10:37:01.075112
7.4,3.2,1,10:37:01.101948
15.9,2.8,1,10:37:01.131613
15.9,2.8,1,10:37:01.160867
15.9,2.8,1,10:37:01.190469
21.0,2.5,1,10:37:01.221729
21.0,2.5,1,10:37:01.249008
24.1,2.6,1,10:37:01.276788
24.1,2.6,1,10:37:01.304127
25.8,2.5,1,10:37:01.332073
25.8,2.5,1,10:37:01.359299
25.8,2.5,1,10:37:01.386663
27.1,2.4,1,10:37:01.414602
27.1,2.4,1,10:37:01.444297
28.3,2.8,1,10:37:01.473961
28.3,2.8,1,10:37:01.504554
28.1,2.7,1,10:37:01.534276
28.1,2.7,1,10:37:01.561591
28.1,2.7,1,10:37:01.590375
26.7,2.6,1,10:37:01.619531
26.7,2.6,1,10:37:01.646494
25.2,2.8,1,10:37:01.674454
25.2,2.8,1,10:37:01.701937
22.9,2.8,2,10:37:01.729213
22.9,2.8,2,10:37:01.756392
22.9,2.8,2,10:37:01.783243
19.9,2.6,2,10:37:01.812972
19.9,2.6,2,10:37:01.841813
17.7,2.7,2,10:37:01.872799
17.7,2.7,2,10:37:01.903995
15.6,2.6,2,10:37:01.933459
15.6,2.6,2,10:37:01.959969
15.6,2.6,2,10:37:01.989404
13.9,2.6,2,10:37:02.016500
13.9,2.6,2,10:37:02.046755
12.2,2.9,2,10:37:02.079313
12.2,2.9,2,10:37:02.111140
10.7,3.2,2,10:37:02.142276
10.7,3.2,2,10:37:02.170497
9.5,3.5,2,10:37:02.197936
9.5,3.5,2,10:37:02.225145
8.3,4.1,3,10:37:02.258038
8.3,4.1,3,10:37:02.287521
