ir_L,ir_R,degree
24.6,4.8,46.1
24.6,4.9,46.17
24.7,4.9,46.14
25.7,5.0,46.13
28.9,5.0,46.16
29.4,5.1,46.1
30.0,5.2,43.52
30.9,5.4,41.13
31.8,5.6,33.99
31.7,5.7,32.8
30.7,6.1,30.74
30.7,6.4,30.95
33.0,6.8,38.58
30.0,7.1,45.79
28.5,7.2,46.91
24.7,7.4,46.99
24.4,7.7,47.01
24.5,7.8,47.05
24.1,8.1,46.98
23.9,8.4,46.8
23.6,8.8,46.77
23.9,9.1,46.76
23.9,9.3,46.74
23.6,9.7,46.72
23.3,10.1,46.79
23.2,10.6,46.7
23.0,11.1,46.7
23.0,11.2,46.68
23.0,11.7,45.48
22.8,12.3,44.31
22.7,12.9,43.83
22.3,13.6,43.85
22.6,14.1,42.29
22.5,14.9,38.66
21.6,15.8,3.84
12.6,16.7,0.03
8.6,17.3,0.06
5.7,17.4,0.07
6.0,16.6,0.03
7.1,15.2,0.04
4.9,14.1,0.02
4.9,12.5,0.05
6.9,11.2,0.07
8.9,9.5,0.03
12.2,10.5,0.03
15.6,7.1,0.03
17.8,4.2,0.04
19.6,3.2,0.03
20.5,3.1,0.16
20.8,3.5,19.6
20.2,3.7,46.74
20.1,3.8,60.23
20.2,3.9,60.27
20.4,3.6,62.17
20.8,3.7,53.06
20.8,3.8,47.19
20.9,3.8,44.16
20.9,3.9,41.23
21.0,4.0,35.16
20.9,4.0,31.48
20.0,4.0,30.26
17.8,4.2,28.47
18.5,4.3,28.81
23.2,4.5,41.05
24.3,4.6,54.77
25.1,4.5,57.74
25.2,4.6,58.21
25.2,4.6,58.22
25.8,4.7,58.26
26.1,4.9,55.89
25.9,5.0,55.69
25.9,5.0,53.13
26.6,5.1,52.88
26.4,5.1,52.94
26.5,5.3,52.93
27.1,5.4,52.92
26.7,5.6,52.95
26.6,5.7,52.93
27.0,5.6,52.94
25.8,5.8,52.92
25.7,5.9,52.86
25.1,6.1,52.87
24.3,6.3,52.88
23.2,6.3,52.92
23.6,6.5,52.91
23.2,6.7,52.88
23.7,6.8,52.89
23.5,7.0,52.88
24.7,7.3,52.98
25.3,7.5,52.88
25.9,7.8,52.89
25.5,7.9,52.92
25.1,8.1,52.87
25.8,8.3,52.93
25.9,8.7,52.93
26.0,9.0,52.91
26.6,9.2,52.9
27.2,9.5,52.94
27.5,9.8,52.87
28.4,10.3,52.95
28.5,10.6,52.9
28.9,11.0,52.9
29.1,11.4,46.98
29.5,11.6,35.27
29.0,12.4,15.97
27.5,13.5,0.17
23.5,14.5,0.13
20.3,15.3,0.04
15.1,15.7,0.02
10.9,14.9,0.1
9.1,12.8,0.03
7.4,11.8,0.06
6.0,9.8,0.11
6.2,5.1,0.08
8.4,3.7,0.04
10.9,4.6,0.02
15.2,3.6,0.03
14.9,2.8,5.58
15.0,2.4,25.53
15.3,2.7,42.41
15.3,2.8,56.92
15.6,2.8,58.59
15.8,2.6,59.74
