ir1,ir2,degree,time
17.9,4.3,3,09:36:27.589542
17.8,4.3,2,09:36:27.617665
17.8,4.3,2,09:36:27.644460
17.8,4.3,2,09:36:27.672173
17.9,4.4,2,09:36:27.700207
17.9,4.4,2,09:36:27.731826
18.1,4.4,2,09:36:27.763886
18.1,4.4,2,09:36:27.793513
18.1,4.4,2,09:36:27.820151
18.1,4.6,2,09:36:27.848258
18.1,4.6,2,09:36:27.876651
17.9,5.0,2,09:36:27.905578
17.9,5.0,2,09:36:27.932487
16.1,5.1,2,09:36:27.959392
16.1,5.1,2,09:36:27.986476
12.6,5.1,3,09:36:28.018868
12.6,5.2,3,09:36:28.049512
7.7,5.2,3,09:36:28.080852
7.7,5.6,3,09:36:28.110785
7.7,5.6,3,09:36:28.139018
5.8,5.6,3,09:36:28.168442
5.8,5.6,3,09:36:28.195010
4.8,5.5,3,09:36:28.223136
4.8,5.5,3,09:36:28.249834
4.8,5.5,3,09:36:28.277223
4.5,5.8,3,09:36:28.305297
4.5,5.8,3,09:36:28.332662
4.3,5.8,3,09:36:28.360553
4.3,5.8,3,09:36:28.388492
3.9,5.7,3,09:36:28.418938
3.9,5.7,3,09:36:28.449100
3.7,5.7,3,09:36:28.479290
3.7,5.9,3,09:36:28.509060
3.7,5.9,3,09:36:28.536374
3.7,6.0,3,09:36:28.563831
3.7,6.0,3,09:36:28.591318
3.4,5.9,3,09:36:28.621343
3.4,5.9,3,09:36:28.650881
3.3,6.1,3,09:36:28.682091
3.3,6.1,3,09:36:28.710650
3.3,6.1,3,09:36:28.737473
3.4,6.1,3,09:36:28.765649
3.4,6.1,3,09:36:28.793048
3.4,6.2,3,09:36:28.820917
3.4,6.2,3,09:36:28.848032
3.1,6.2,3,09:36:28.875684
3.1,6.3,3,09:36:28.903488
3.1,6.3,3,09:36:28.930442
3.3,6.3,3,09:36:28.958624
3.3,6.3,3,09:36:28.986885
3.2,6.4,3,09:36:29.016808
3.2,6.4,3,09:36:29.046450
3.0,6.4,3,09:36:29.076232
