ir_L,ir_R,degree
2.5,10.6,33.42
2.4,10.3,33.37
2.3,9.9,33.34
2.3,9.7,33.37
2.4,9.4,33.36
2.4,9.2,33.35
2.5,8.9,33.36
2.6,8.6,33.45
2.4,8.0,33.45
2.4,7.7,33.37
2.5,7.2,33.31
2.5,7.1,33.41
2.5,6.8,30.05
2.6,6.7,22.88
2.5,6.6,8.88
2.4,6.2,0.32
2.4,6.2,0.05
2.3,6.8,0.1
2.2,7.1,0.05
2.2,8.2,0.04
2.3,9.2,0.04
2.4,10.8,0.33
2.6,11.7,0.24
2.4,13.2,0.06
2.6,14.3,0.12
2.9,15.0,0.12
3.1,14.8,0.18
3.0,13.7,0.04
2.9,12.8,0.18
2.9,10.7,0.12
2.8,10.4,0.19
3.0,9.3,0.28
2.8,8.5,2.61
2.4,7.1,35.71
2.3,6.6,44.76
2.4,6.6,44.74
2.5,6.7,44.74
2.5,6.6,44.73
2.6,6.8,44.77
2.5,7.0,44.72
2.6,7.2,44.51
2.9,7.2,36.24
3.0,7.5,22.89
2.8,7.5,19.63
2.8,7.0,19.55
2.8,6.7,19.65
2.8,6.2,19.61
2.8,5.7,19.63
2.5,5.7,19.64
2.4,5.7,19.63
2.5,5.9,19.59
2.5,5.9,19.63
2.6,5.6,19.61
2.2,5.0,16.16
2.0,4.8,8.95
1.9,5.3,2.64
2.0,5.8,0.21
2.1,5.7,0.07
2.0,6.1,0.04
1.8,9.8,0.05
1.9,14.5,0.04
2.0,17.6,0.04
2.3,19.2,0.04
2.3,21.2,0.03
1.9,21.8,0.04
2.1,22.3,0.02
2.1,21.4,0.04
2.4,19.4,10.47
2.4,18.2,25.77
2.1,16.8,31.71
2.1,16.6,40.97
2.4,16.7,48.4
2.3,17.1,49.07
2.0,18.4,47.96
2.0,19.6,31.16
2.1,21.0,6.38
2.1,21.0,0.09
2.4,19.9,0.04
2.5,16.7,0.07
2.3,14.3,0.05
3.0,11.4,15.41
3.8,9.4,41.89
4.3,8.3,45.6
4.1,8.5,58.72
3.8,8.8,62.08
3.3,9.3,61.86
3.1,9.8,44.82
2.7,10.1,40.79
2.3,10.4,40.82
2.2,10.8,40.85
2.3,11.1,40.83
2.2,11.3,40.86
2.3,11.5,40.89
2.3,11.7,40.87
2.1,12.1,36.23
2.1,12.4,30.68
2.3,12.3,25.37
2.3,11.9,23.65
2.1,11.2,23.75
2.1,10.3,24.24
2.2,9.9,46.47
2.2,9.5,48.34
2.3,9.5,48.23
2.1,9.9,48.29
2.2,10.3,44.08
