ir_L,ir_R,degree
12.4,9.7,30.77
12.9,12.1,34.02
13.4,13.5,35.85
13.8,14.1,38.83
13.7,14.7,41.25
13.8,15.4,41.28
13.7,16.4,41.3
13.6,17.8,41.33
13.5,19.9,41.08
13.4,21.0,41.09
13.4,21.8,40.76
13.1,21.5,39.28
12.9,22.0,36.88
12.6,21.9,33.74
11.7,21.9,32.32
11.4,21.8,35.21
12.1,21.8,42.28
10.8,21.4,42.66
8.8,21.8,42.7
10.8,21.9,42.75
4.9,21.3,42.63
4.1,21.7,42.66
3.4,21.6,42.74
3.0,21.3,42.74
2.7,21.3,42.64
2.6,21.0,42.67
2.6,21.0,42.73
2.5,21.1,41.66
2.5,21.2,38.61
2.5,21.0,32.51
2.5,21.0,32.36
2.5,22.8,32.33
2.5,22.4,32.34
2.4,21.1,30.65
2.4,20.0,28.86
2.4,17.7,26.48
2.4,16.3,22.68
2.4,14.0,18.31
2.4,12.4,15.79
2.4,9.5,12.86
2.6,8.2,12.85
2.7,6.5,12.86
3.0,5.5,12.85
3.0,4.6,13.04
3.2,3.9,12.91
3.5,3.8,12.89
3.9,3.9,12.98
4.4,4.3,12.95
4.8,5.3,12.84
5.3,6.3,12.93
5.8,9.0,12.9
6.5,10.5,12.93
7.0,12.2,12.89
7.9,12.6,13.05
8.4,13.3,18.52
9.1,13.8,23.46
9.5,14.9,24.37
9.6,15.1,26.47
9.5,14.2,26.93
10.2,12.4,27.16
10.9,10.7,31.46
13.8,10.2,32.75
16.1,10.0,34.08
19.2,9.9,34.04
19.8,9.9,38.17
19.0,10.0,41.0
16.9,10.7,42.33
13.7,11.5,42.65
13.9,12.5,42.75
15.6,14.2,42.62
18.6,15.0,42.75
20.8,15.7,42.66
21.9,15.9,42.6
22.0,15.3,42.61
22.6,14.5,42.7
24.0,12.4,42.62
27.3,11.2,42.57
29.7,10.6,42.65
32.4,11.6,42.59
33.9,13.9,42.55
34.7,15.0,42.57
34.6,16.0,42.57
35.4,16.3,42.39
35.6,16.4,42.12
36.9,16.3,42.08
37.2,16.1,42.18
37.7,16.0,42.14
38.0,15.8,42.21
38.8,15.6,42.5
39.5,15.5,42.55
39.8,15.3,42.55
40.2,15.2,44.78
40.1,15.2,45.17
39.9,15.1,45.08
39.8,15.0,45.17
39.6,15.2,45.16
39.7,15.0,45.14
39.8,15.0,45.14
39.8,14.9,45.15
39.8,14.6,45.17
39.9,14.4,45.09
39.0,14.2,45.03
37.4,14.0,44.99
36.4,13.7,44.99
35.8,13.5,45.0
34.7,13.6,44.99
34.5,13.6,45.14
34.8,13.7,44.98
33.9,13.9,44.96
32.8,14.3,44.94
32.8,14.6,44.89
32.6,15.2,44.78
34.1,15.3,44.88
35.1,14.9,44.9
34.2,14.7,44.82
29.4,14.6,44.79
19.5,14.3,44.79
12.4,14.0,44.78
6.3,13.6,44.07
4.8,13.1,44.05
4.0,13.0,44.06
3.6,12.5,44.0
3.4,12.1,44.01
3.5,11.5,44.09
3.4,11.4,47.42
3.2,11.2,56.59
3.1,11.0,54.22
3.2,10.9,47.81
3.1,10.6,46.77
3.2,10.4,46.86
3.1,10.3,44.55
3.0,10.2,44.43
3.1,10.1,41.43
3.1,9.9,35.34
2.9,9.5,34.2
2.9,9.2,32.25
2.9,8.1,32.03
2.9,7.3,29.05
2.8,5.9,29.06
2.8,5.1,28.94
2.8,4.5,24.97
2.8,4.2,24.96
2.9,4.0,25.06
2.9,4.3,25.06
2.8,4.6,25.11
2.9,4.5,25.16
3.0,4.1,25.18
3.1,3.9,25.15
3.0,4.1,25.2
3.2,4.6,24.04
3.4,5.8,20.48
3.7,6.5,19.35
3.9,8.4,15.82
4.4,9.5,15.5
4.6,10.9,15.54
5.2,13.2,15.57
6.0,15.2,15.53
6.5,18.5,15.55
7.5,20.3,15.61
